,0
050,Summarize the physiologic changes that occur during puberty and explain how the adolescent growth spurt correlates with peak fracture incidence in childhood and timing of peak bone mass accrual.
051,Distinguish between pathologic and physiologic causes of pubertal gynecomastia and recommend appropriate management.
052,Differentiate among genetic syndromes that cause early-onset obesity and diagnose MC4R deficiency on the basis of clinical presentation.
053,Describe the spectrum of anterior and posterior hormone deficiencies associated with holoprosencephaly.
054,
055,Explain the mechanism by which GH decreases cortisol synthesis.
056,Explain the determinants of bone health and fractures in children with type 1 diabetes mellitus.
057,Develop an approach to identify and test for adrenal suppression due to exogenous glucocorticoid use.
058,Explain the advantages and limitations of various prenatal screening options for Turner syndrome.
059,Anticipate that consumptive hypothyroidism can cause high-output heart failure.
060,Identify the alterations in leptin and insulin that occur in patients with hypothalamic obesity.
061,Identify inactivating pathogenic variants in the CASR gene as a cause of severe hyperparathyroidism in neonates and describe how this can resolve with medical treatment.
062,Identify important considerations in the management of children with Graves disease and trisomy 21.
063,Diagnose premature adrenarche and explain why classic definitions may not necessarily be appropriate for all ethnic groups.
064,Identify potential precautions and adverse effects associated with dopamine agonist therapy.
065,Identify the characteristic clinical features of diencephalic syndrome as a cause of failure to thrive in young children.
066,Diagnose consumptive hypothyroidism based on clinical findings and identify the laboratory abnormalities associated with this diagnosis.
067,Identify characteristic clinical and laboratory findings in patients with syndrome of inappropriate antidiuretic hormone secretion.
068,
069,Identify nonalcoholic fatty liver disease as the most common liver disease in children living in the United States and recommend ALT measurement as the preferred first-line screening test.
070,Recommend vertebral fracture analysis by DXA as a reliable method to diagnose vertebral compression fractures if scans are read and interpreted by an experienced clinician.
071,Guide the management of low-risk papillary thyroid cancer in an adolescent.
072,Diagnose hypophosphatasia in a child with rachitic changes in the setting of low serum alkaline phosphatase.
073,Identify hormone profiles consistent with Kallmann syndrome.
074,Guide the management of GH therapy in children with Prader-Willi syndrome.
075,"Explain the genetics of pheochromocytomas and paragangliomas and describe the stratification of genetic diagnosis dependent on clinical phenotype, tumor location, and biochemical phenotype."
076,Explain the importance of early referral to appropriate subspecialty care to address potential microvascular complications in an adolescent with suboptimally controlled type 1 diabetes mellitus.
077,Describe the physiology of IGF-1 receptor activity and clinical features of patients with IGF-1 resistance.
078,Identify and diagnose hypothyroidism caused by excessive maternal iodine intake.
079,Describe the presentation of adrenal insufficiency in autoimmune polyglandular syndrome type 1 and explain how hypercalcemia can be a manifestation.
080,Explain the major nutritional phases associated with Prader-Willi syndrome.
081,"Explain the effects and mechanism of action of levodopa, clonidine, glucagon, propranolol, and arginine hydrochloride during testing for GH secretory capacity."
082,Identify a new form of syndromic primary adrenal insufficiency due to pathogenic variants in the SGPL1 gene.
083,Identify the clinical manifestations of Silver-Russell syndrome and recommend testing to confirm the diagnosis.
084,Consider rare forms of genetic diabetes in the differential diagnosis of diabetes mellitus.
085,Explain the importance of postoperative staging in high-risk papillary thyroid cancer in an adolescent.
086,Identify the diagnostic challenges in a child with short stature and recall the recommended GH dosage for treating patients with GH deficiency.
087,Identify gelastic seizures as part of the presentation of central precocious puberty due to a hypothalamic hamartoma.
088,
089,Identify risk factors and appropriate screening for hearing impairment in patients with congenital hypothyroidism.
090,Diagnose a TSH-secreting pituitary adenoma and explain the physiologic effects of TSH.
091,Determine the dosage and best way to administer glucagon for hypoglycemia emergencies.
092,Identify risk factors for fractures and falls and manage pediatric osteoporosis.
093,Explain how changes in puberty can alter cortisol dynamics and control of congenital adrenal hyperplasia.
094,Describe the most common genetic alterations found in children and adolescents with papillary thyroid cancer vs follicular or medullary thyroid cancer.
095,"Identify ACAN pathogenic variants as the cause of aggrecanopathies with specific phenotypic features, including short stature in affected patients and their family members."
096,Identify orlistat as the only medication that is FDA-approved to treat obesity among adolescents younger than 16 years and recognize that intensive lifestyle interventions continue to be the mainstay of treatment for weight management in children and adolescents.
097,Describe the physiologic and pharmacologic effects of oxytocin.
098,Evaluate thyroid nodules in a patient with Graves disease and include assessment for thyroid nodules in the evaluation for definitive treatment of Graves disease.
099,Provide appropriate guidance for management of gender dysphoria in early puberty.
100,
